id,create_date,rent_price,deposit,floor,area_total,rooms,region,agent_fee,date_only,repair_type_original,renovation_cosmetic,renovation_design,renovation_euro,renovation_no,renovation_unknown,price_for_m2,is_luxury_by_region,month_deposit,deposit_group,is_high_floor,renovation_score,is_small,is_large,is_studio,is_family,is_expensive_region,area_expensive,rooms_scaled,floor_scaled,rooms_x_floor
114,2021-12-06 01:38:10.728000+03:00,50000,50000.0,13,45.0,2,1,70.0,2021-12-06,euro,0,0,1,0,0,1111.11,1,1.0,1,0,0.4,1,0,0,0,1,45.0,0.3333333333333333,0.2222222222222222,0.07407407407407407
115,2021-12-06 01:32:34.524000+03:00,40000,40000.0,2,44.5,2,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,898.88,0,1.0,1,0,0.0,1,0,0,0,1,44.5,0.3333333333333333,0.018518518518518517,0.006172839506172839
116,2021-12-06 01:17:07.386000+03:00,60000,60000.0,13,40.0,1,1,50.0,2021-12-06,design,0,1,0,0,0,1500.0,1,1.0,2,0,0.6,1,0,1,0,1,40.0,0.16666666666666666,0.2222222222222222,0.037037037037037035
119,2021-12-06 01:15:25.627000+03:00,45000,45000.0,1,55.0,2,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,818.18,0,1.0,1,0,0.0,0,0,0,0,1,55.0,0.3333333333333333,0.0,0.0
121,2021-12-06 01:09:14.227000+03:00,45000,45000.0,8,58.0,2,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,775.86,0,1.0,1,0,0.0,0,0,0,0,1,58.0,0.3333333333333333,0.12962962962962962,0.043209876543209874
122,2021-12-06 01:08:42.452000+03:00,58000,58000.0,4,46.0,1,1,50.0,2021-12-06,design,0,1,0,0,0,1260.87,1,1.0,2,0,0.6,1,0,1,0,1,46.0,0.16666666666666666,0.05555555555555555,0.009259259259259259
124,2021-12-06 01:08:13.834000+03:00,57000,57000.0,1,52.0,2,1,0.0,2021-12-06,euro,0,0,1,0,0,1096.15,1,1.0,2,0,0.4,0,0,0,0,1,52.0,0.3333333333333333,0.0,0.0
125,2021-12-06 01:08:06.213000+03:00,40000,40000.0,25,48.0,1,1,50.0,2021-12-06,euro,0,0,1,0,0,833.33,0,1.0,1,0,0.4,1,0,1,0,1,48.0,0.16666666666666666,0.4444444444444444,0.07407407407407407
126,2021-12-06 01:07:51.433000+03:00,40000,40000.0,4,46.0,2,1,90.0,2021-12-06,cosmetic,1,0,0,0,0,869.57,0,1.0,1,0,0.0,1,0,0,0,1,46.0,0.3333333333333333,0.05555555555555555,0.018518518518518517
127,2021-12-06 01:06:50.324000+03:00,43000,43000.0,5,41.0,2,1,0.0,2021-12-06,euro,0,0,1,0,0,1048.78,0,1.0,1,0,0.4,1,0,0,0,1,41.0,0.3333333333333333,0.07407407407407407,0.024691358024691357
